run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,output_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,finger_type,tsample,tsr_stop,sc_true,sc_false,theta,tauRho,hidden_size,loss_type,path,bin_duration,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path
abd0d5d7,vtsnn10:tac_rpg,2020-08-07 10:26:43,0:07:45,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 lr=0.0001 output_size=20 sample_file=3,4,400,0.0001,3,20,0.041491903364658356,0.9850000143051147,0.31560465693473816,0.6299999952316284,0.6000000238418579,0.9850000143051147,,,,,,,,,,,,,,,,,,,,
47f48243,vtsnn10:tac_rpg_2,2020-08-07 10:16:37,0:08:50,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 finger_type=0 lr=0.0001 output_size=20 sample_file=3,4,400,0.0001,3,20,0.08783984929323196,0.9549999833106995,0.32065117359161377,0.6399999856948853,0.6200000047683716,0.9549999833106995,0,,,,,,,,,,,,,,,,,,,
6f53286d,vtsnn10:tac_rpg_2,2020-08-07 10:16:19,0:08:55,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 finger_type=1 lr=0.0001 output_size=20 sample_file=3,4,400,0.0001,3,20,0.05829816311597824,0.9750000238418579,0.3301953673362732,0.5799999833106995,0.550000011920929,0.9700000286102295,1,,,,,,,,,,,,,,,,,,,
a04170c0,vtsnn10:tac_rpg,2020-08-07 10:13:21,0:13:21,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 lr=0.0001 output_size=20 sample_file=2,4,400,0.0001,2,20,0.03099086694419384,0.9950000047683716,0.29441243410110474,0.6399999856948853,0.6299999952316284,0.9950000047683716,,,,,,,,,,,,,,,,,,,,
5f1acc8b,vtsnn10:tact-snn-2,2020-08-07 10:07:46,0:03:23,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug6 epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,3,20,3.114461898803711,0.9700000286102295,5.821183681488037,0.3799999952316284,0.3499999940395355,0.9549999833106995,1,325,325,150,5,10,1,32,0,,,,,,,,,,,
f83a9911,vtsnn10:tac_rpg_2,2020-08-07 10:07:00,0:09:35,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 finger_type=0 lr=0.0001 output_size=20 sample_file=2,4,400,0.0001,2,20,0.06300310045480728,0.9900000095367432,0.28710034489631653,0.6200000047683716,0.5799999833106995,0.9800000190734863,0,,,,,,,,,,,,,,,,,,,
9f0fb79c,vtsnn10:tac_rpg_2,2020-08-07 10:06:33,0:09:45,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 finger_type=1 lr=0.0001 output_size=20 sample_file=2,4,400,0.0001,2,20,0.04892851039767265,0.9900000095367432,0.28698647022247314,0.5899999737739563,0.5799999833106995,0.9900000095367432,1,,,,,,,,,,,,,,,,,,,
6c1e82a8,vtsnn10:tact-snn-2,2020-08-07 10:04:27,0:03:18,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug6 epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,20,2.5060925483703613,0.9449999928474426,5.251716136932373,0.41999998688697815,0.3700000047683716,0.9350000023841858,1,325,325,150,5,10,1,32,0,,,,,,,,,,,
5d6461f5,vtsnn10:tact-snn-2,2020-08-07 10:01:20,0:03:06,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug6 epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,20,2.41335391998291,0.949999988079071,4.547337532043457,0.38999998569488525,0.3400000035762787,0.9350000023841858,1,325,325,150,5,10,1,32,0,,,,,,,,,,,
4b34be54,vtsnn10:tac_rpg,2020-08-07 09:57:42,0:15:38,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 lr=0.0001 output_size=20 sample_file=1,4,400,0.0001,1,20,0.046280909329652786,0.9850000143051147,0.26965439319610596,0.699999988079071,0.699999988079071,0.9850000143051147,,,,,,,,,,,,,,,,,,,,
b6800edd,vtsnn10:tac_rpg_2,2020-08-07 09:57:33,0:09:27,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 finger_type=0 lr=0.0001 output_size=20 sample_file=1,4,400,0.0001,1,20,0.07562851160764694,0.9700000286102295,0.32995325326919556,0.5799999833106995,0.5600000023841858,0.9649999737739563,0,,,,,,,,,,,,,,,,,,,
63f3ae0c,vtsnn10:tac_rpg_2,2020-08-07 09:57:10,0:09:22,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug6 epochs=400 finger_type=1 lr=0.0001 output_size=20 sample_file=1,4,400,0.0001,1,20,0.05115559697151184,0.9900000095367432,0.29077431559562683,0.5799999833106995,0.5099999904632568,0.9900000095367432,1,,,,,,,,,,,,,,,,,,,
7054288f,vtsnn10:tact-snn-2,2020-08-07 00:43:40,0:05:45,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug6 epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,3,20,2.001415252685547,0.9300000071525574,5.5256805419921875,0.4000000059604645,0.33000001311302185,0.9200000166893005,0,325,325,150,5,10,1,32,0,,,,,,,,,,,
518000b1,vtsnn10:tact-snn,2020-08-07 00:41:36,0:07:15,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug6 epochs=500 hidden_size=32 loss_type=0 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,3,20,0.48289230465888977,1.0,5.061420440673828,0.4000000059604645,0.3700000047683716,0.9950000047683716,,325,325,150,5,10,1,32,0,,,,,,,,,,,
801c7aed,vtsnn10:tact-snn-2,2020-08-07 00:33:51,0:09:48,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug6 epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,20,2.389784574508667,0.9599999785423279,2.0796451568603516,0.3799999952316284,0.3100000023841858,0.9449999928474426,0,325,325,150,5,10,1,32,0,,,,,,,,,,,
56aa7527,vtsnn10:tact-snn,2020-08-07 00:32:42,0:08:53,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug6 epochs=500 hidden_size=32 loss_type=0 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,20,0.8020922541618347,1.0,1.8584614992141724,0.4399999976158142,0.4099999964237213,1.0,,325,325,150,5,10,1,32,0,,,,,,,,,,,
05e3482a,vtsnn10:tact-snn-2,2020-08-07 00:28:22,0:05:29,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug6 epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,20,3.127323627471924,0.9200000166893005,2.9429588317871094,0.36000001430511475,0.3400000035762787,0.9200000166893005,0,325,325,150,5,10,1,32,0,,,,,,,,,,,
