run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,output_size,finger_type,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,theta,tauRho,hidden_size,loss_type,path,bin_duration,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path
3bb7e78c,vtsnn9:tac_rpg_2,2020-08-04 14:11:12,0:01:20,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 finger_type=1 lr=0.0001 output_size=6 sample_file=3,4,200,0.0001,3,6,1,0.07798314839601517,0.9666666388511658,0.1459418088197708,0.800000011920929,0.7666666507720947,0.9666666388511658,,,,,,,,,,,,,,,,,,,
c8f81f54,vtsnn9:tac_rpg_2,2020-08-04 14:11:09,0:01:23,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 finger_type=0 lr=0.0001 output_size=6 sample_file=3,4,200,0.0001,3,6,0,0.12013642489910126,0.8999999761581421,0.2908037304878235,0.6333333253860474,0.5333333611488342,0.8999999761581421,,,,,,,,,,,,,,,,,,,
f38a5a05,vtsnn9:tac_rpg_2,2020-08-04 14:09:40,0:01:28,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 finger_type=0 lr=0.0001 output_size=6 sample_file=2,4,200,0.0001,2,6,0,0.11189376562833786,0.8833333253860474,0.2216416448354721,0.7666666507720947,0.6666666865348816,0.8666666746139526,,,,,,,,,,,,,,,,,,,
044d1991,vtsnn9:tac_rpg_2,2020-08-04 14:09:39,0:01:32,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 finger_type=1 lr=0.0001 output_size=6 sample_file=2,4,200,0.0001,2,6,1,0.0744149312376976,0.9833333492279053,0.18135935068130493,0.7666666507720947,0.699999988079071,0.9833333492279053,,,,,,,,,,,,,,,,,,,
ef6ef0b5,vtsnn9:tac_rpg,2020-08-04 14:08:42,0:02:19,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 lr=0.0001 output_size=6 sample_file=3,4,200,0.0001,3,6,,0.05090053007006645,0.9833333492279053,0.24552616477012634,0.7333333492279053,0.699999988079071,0.9833333492279053,,,,,,,,,,,,,,,,,,,
7f442663,vtsnn9:tac_rpg_2,2020-08-04 14:08:13,0:01:26,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 finger_type=1 lr=0.0001 output_size=6 sample_file=1,4,200,0.0001,1,6,1,0.07456743717193604,0.9833333492279053,0.2118731588125229,0.6333333253860474,0.6000000238418579,0.9833333492279053,,,,,,,,,,,,,,,,,,,
c689c2a8,vtsnn9:tac_rpg_2,2020-08-04 14:08:06,0:01:33,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 finger_type=0 lr=0.0001 output_size=6 sample_file=1,4,200,0.0001,1,6,0,0.16072335839271545,0.8333333134651184,0.18823041021823883,0.800000011920929,0.699999988079071,0.8166666626930237,,,,,,,,,,,,,,,,,,,
2226fa5d,vtsnn9:tac_rpg,2020-08-04 14:06:53,0:01:48,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 lr=0.0001 output_size=6 sample_file=2,4,200,0.0001,2,6,,0.06812670826911926,0.9833333492279053,0.21323727071285248,0.699999988079071,0.6666666865348816,0.9833333492279053,,,,,,,,,,,,,,,,,,,
4b9b4bd3,vtsnn9:tac_rpg,2020-08-04 14:03:05,0:03:47,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/aug4 epochs=200 lr=0.0001 output_size=6 sample_file=1,4,200,0.0001,1,6,,0.07513898611068726,0.9666666388511658,0.16180627048015594,0.699999988079071,0.6333333253860474,0.9666666388511658,,,,,,,,,,,,,,,,,,,
6a58a75c,vtsnn9:tact-snn-2,2020-08-04 13:32:56,0:02:47,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,3,6,1,1.156153917312622,1.0,3.001923084259033,0.5666666626930237,0.5333333611488342,1.0,325,325,150,5,10,1,32,0,,,,,,,,,,,
b59ab9af,vtsnn9:tact-snn,2020-08-04 13:32:09,0:03:11,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,3,6,,0.14269229769706726,1.0,11.754230499267578,0.6000000238418579,0.36666667461395264,1.0,325,325,150,5,10,1,32,0,,,,,,,,,,,
93fa6564,vtsnn9:tact-snn-2,2020-08-04 13:29:44,0:03:33,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,3,6,0,1.0401922464370728,0.9666666388511658,3.6349997520446777,0.6333333253860474,0.6333333253860474,0.9666666388511658,325,325,150,5,10,1,32,0,,,,,,,,,,,
f670ee60,vtsnn9:tact-snn-2,2020-08-04 13:29:18,0:03:36,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,6,1,0.9726923704147339,1.0,6.152692794799805,0.800000011920929,0.6333333253860474,1.0,325,325,150,5,10,1,32,0,,,,,,,,,,,
21707a8c,vtsnn9:tact-snn,2020-08-04 13:28:42,0:03:26,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,6,,0.125,1.0,3.97576904296875,0.6666666865348816,0.6333333253860474,1.0,325,325,150,5,10,1,32,0,,,,,,,,,,,
f99b0584,vtsnn9:tact-snn-2,2020-08-04 13:26:18,0:03:26,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,2,6,0,5.515769004821777,0.9833333492279053,10.795768737792969,0.6000000238418579,0.5,0.9833333492279053,325,325,150,5,10,1,32,0,,,,,,,,,,,
8055f7ab,vtsnn9:tact-snn-2,2020-08-04 13:26:00,0:03:17,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 finger_type=1 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,6,1,2.1905770301818848,1.0,7.776538848876953,0.6333333253860474,0.5,1.0,325,325,150,5,10,1,32,0,,,,,,,,,,,
80a959a7,vtsnn9:tact-snn,2020-08-04 13:25:27,0:03:14,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,6,,0.15269231796264648,1.0,3.3980770111083984,0.7666666507720947,0.6333333253860474,1.0,325,325,150,5,10,1,32,0,,,,,,,,,,,
4c3802bb,vtsnn9:tact-snn-2,2020-08-04 13:24:00,0:02:17,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/aug4 epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=6 sample_file=1 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,0.001,1,6,0,2.3809616565704346,0.9833333492279053,2.5634613037109375,0.6666666865348816,0.6666666865348816,0.9833333492279053,325,325,150,5,10,1,32,0,,,,,,,,,,,
dcd21fd2,vtsnn9:downsample-vision,2020-08-04 13:21:22,0:00:03,completed,count=90 path=/home/…/aug4 tauRho=1 theta=10 tsample=325,,,,,,,,,,,,,325,,,,10,1,,,/home/tasbolat/some_python_examples/diag_data/aug4/,,,,,,,,,,
f2c11ded,vtsnn9:prepare-data,2020-08-04 13:20:37,0:00:11,completed,bin_duration=0.02 modes=tac n_sample_per_object=15 remove_outlier=0 save_dir=/home/…/aug4 selection=grasp_lift_hold tactile_path=/…/aces_recordings threshold=1 trajectory_path=/…/traj_start_ends video_path=/…/prophesee_recordings,,,,,,,,,,,,,,,,,,,,,,0.02,tac,15,0,/home/tasbolat/some_python_examples/diag_data/aug4/,grasp_lift_hold,/home/tasbolat/some_python_examples/diag_data/aug4/aces_recordings,1,/home/tasbolat/some_python_examples/diag_data/aug4/traj_start_ends/,/datasets/eventdata/batch2/prophesee_recordings/
