run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,output_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train
630355b1,vtsnn12:tac_rpg,2020-08-13 10:22:44,0:06:30,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=5,4,300,0.0001,5,20,0.028960349038243294,1.0,0.2824695110321045,0.6333333253860474,0.6333333253860474,1.0
5dd80516,vtsnn12:tac_rpg,2020-08-13 10:16:12,0:06:31,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=4,4,300,0.0001,4,20,0.029612740501761436,0.9958333373069763,0.3604171872138977,0.5166666507720947,0.4833333194255829,0.9958333373069763
a22a35f5,vtsnn12:vis_rpg,2020-08-13 10:06:55,0:02:20,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=5,4,20,0.0001,5,,0.013313443399965763,1.0,0.3702181875705719,0.699999988079071,0.6499999761581421,1.0
500439d5,vtsnn12:tac_rpg,2020-08-13 10:06:17,0:15:03,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=3,4,300,0.0001,3,20,0.02603522688150406,1.0,0.29787757992744446,0.5833333134651184,0.5666666626930237,1.0
c79de070,vtsnn12:vis_rpg,2020-08-13 10:04:46,0:02:08,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=4,4,20,0.0001,4,,0.01595761813223362,1.0,0.47877898812294006,0.5833333134651184,0.5833333134651184,0.9958333373069763
6bf9e139,vtsnn12:vis_rpg,2020-08-13 10:02:38,0:02:07,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=3,4,20,0.0001,3,,0.015533779747784138,1.0,0.2814617455005646,0.7833333611488342,0.75,0.9916666746139526
036309d8,vtsnn12:vis_rpg,2020-08-13 10:00:30,0:02:07,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=2,4,20,0.0001,2,,0.024947509169578552,1.0,0.3637619614601135,0.7166666388511658,0.6666666865348816,0.9833333492279053
f02273d5,vtsnn12:vis_rpg,2020-08-13 09:58:23,0:02:06,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=1,4,20,0.0001,1,,0.01608939841389656,1.0,0.28949153423309326,0.7166666388511658,0.699999988079071,0.9958333373069763
91de97fd,vtsnn12:mm_rpg,2020-08-13 09:52:35,0:03:10,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=5,4,20,0.0001,5,,0.007567922584712505,1.0,0.14295895397663116,0.800000011920929,0.7666666507720947,1.0
7140c295,vtsnn12:tac_rpg,2020-08-13 09:51:43,0:14:33,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=2,4,300,0.0001,2,20,0.029306387528777122,1.0,0.3286800980567932,0.6166666746139526,0.550000011920929,1.0
9cf744bd,vtsnn12:mm_rpg,2020-08-13 09:49:34,0:03:00,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=4,4,20,0.0001,4,,0.0059731947258114815,1.0,0.30741816759109497,0.7333333492279053,0.6833333373069763,1.0
e6e1d89f,vtsnn12:mm_rpg,2020-08-13 09:46:23,0:03:10,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=3,4,20,0.0001,3,,0.007724545430392027,1.0,0.17315258085727692,0.8666666746139526,0.800000011920929,1.0
afb2bee9,vtsnn12:mm_rpg,2020-08-13 09:43:13,0:03:10,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=2,4,20,0.0001,2,,0.007118946872651577,1.0,0.2319319248199463,0.75,0.7166666388511658,1.0
4f05c586,vtsnn12:mm_rpg,2020-08-13 09:40:01,0:03:11,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=1,4,20,0.0001,1,,0.007168328855186701,1.0,0.1764431595802307,0.800000011920929,0.7833333611488342,1.0
be7e031a,vtsnn12:tac_rpg,2020-08-13 09:36:07,0:14:04,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=1,4,300,0.0001,1,20,0.025778619572520256,1.0,0.318722128868103,0.699999988079071,0.6000000238418579,1.0
