run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,output_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train
a8d620ad,vtsnn12:tac_rpg,2020-08-13 04:35:45,0:18:27,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=5,4,300,0.0001,5,20,0.02635916694998741,0.9916666746139526,0.2452920824289322,0.699999988079071,0.699999988079071,0.9916666746139526
9b095ba5,vtsnn12:tac_rpg,2020-08-13 04:17:17,0:18:26,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=4,4,300,0.0001,4,20,0.032410841435194016,0.9833333492279053,0.3045051097869873,0.6333333253860474,0.6166666746139526,0.9833333492279053
d1fa053c,vtsnn12:tac_rpg,2020-08-13 03:58:57,0:18:19,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=3,4,300,0.0001,3,20,0.03167199343442917,0.9916666746139526,0.25349411368370056,0.6833333373069763,0.6666666865348816,0.9916666746139526
0e74946e,vtsnn12:tac_rpg,2020-08-13 03:40:29,0:18:28,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=2,4,300,0.0001,2,20,0.02247229591012001,1.0,0.2845851480960846,0.699999988079071,0.699999988079071,1.0
060e6d05,vtsnn12:mm_rpg,2020-08-13 03:28:40,0:02:06,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=5,4,20,0.0001,5,,0.003967262804508209,1.0,0.13558131456375122,0.8166666626930237,0.7833333611488342,1.0
a3fab09f,vtsnn12:mm_rpg,2020-08-13 03:26:33,0:02:05,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=4,4,20,0.0001,4,,0.006274569313973188,1.0,0.3004128932952881,0.75,0.7166666388511658,1.0
a8de0bc6,vtsnn12:mm_rpg,2020-08-13 03:24:27,0:02:06,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=3,4,20,0.0001,3,,0.0056488653644919395,1.0,0.152741938829422,0.8666666746139526,0.8333333134651184,1.0
2229d57f,vtsnn12:mm_rpg,2020-08-13 03:22:19,0:02:06,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=2,4,20,0.0001,2,,0.006632291711866856,1.0,0.24974209070205688,0.7666666507720947,0.7666666507720947,1.0
985c8ffa,vtsnn12:tac_rpg,2020-08-13 03:21:41,0:18:47,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=300 lr=0.0001 output_size=20 sample_file=1,4,300,0.0001,1,20,0.027128541842103004,0.9958333373069763,0.2695029377937317,0.7166666388511658,0.6833333373069763,0.9958333373069763
1be7b884,vtsnn12:mm_rpg,2020-08-13 03:20:14,0:02:04,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=1,4,20,0.0001,1,,0.007266017142683268,1.0,0.15013033151626587,0.8666666746139526,0.8666666746139526,1.0
361c475c,vtsnn12:vis_rpg,2020-08-13 02:44:15,0:01:44,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=5,4,20,0.0001,5,,0.009178802371025085,1.0,0.35572198033332825,0.6833333373069763,0.6833333373069763,0.9958333373069763
9cb2560c,vtsnn12:vis_rpg,2020-08-13 02:42:30,0:01:44,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=4,4,20,0.0001,4,,0.006650974974036217,1.0,0.4740258753299713,0.6499999761581421,0.6000000238418579,1.0
c6b5bd1f,vtsnn12:vis_rpg,2020-08-13 02:40:45,0:01:44,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=3,4,20,0.0001,3,,0.009408146142959595,1.0,0.3350153863430023,0.75,0.699999988079071,0.9958333373069763
6c4219fa,vtsnn12:vis_rpg,2020-08-13 02:39:00,0:01:45,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=2,4,20,0.0001,2,,0.00886134710162878,1.0,0.3418341875076294,0.6833333373069763,0.6833333373069763,1.0
7ae0d370,vtsnn12:vis_rpg,2020-08-13 02:37:15,0:01:44,completed,batch_size=4 checkpoint_dir=. data_dir=/…/aug6_rpg_data epochs=20 lr=0.0001 sample_file=1,4,20,0.0001,1,,0.01713155396282673,1.0,0.29279476404190063,0.7666666507720947,0.7333333492279053,0.9958333373069763
